Aruba	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Aruba
Afghanistan	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Afghanistan
Angola	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Angola
Anguilla	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Anguilla
Åland Islands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/%C3%85land_Islands
Albania	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Albania
Andorra	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Andorra
United Arab Emirates	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/United_Arab_Emirates
Argentina	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Argentina
Armenia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Armenia
American Samoa	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/American_Samoa
Antarctica	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Antarctica
French Southern and Antarctic Lands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/French_Southern_and_Antarctic_Lands
Antigua and Barbuda	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Australia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Australia
Austria	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Austria
Azerbaijan	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Azerbaijan
Burundi	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Burundi
Belgium	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Belgium
Benin	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Benin
Burkina Faso	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Burkina_Faso
Bangladesh	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Bangladesh
Bulgaria	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Bulgaria
Bahrain	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Bahrain
Bahamas	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/The_Bahamas
Bosnia and Herzegovina	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Saint Barthélemy	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Saint_Barth%C3%A9lemy
Saint Helena, Ascension and Tristan da Cunha	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Saint_Helena,_Ascension_and_Tristan_da_Cunha
Belarus	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Belarus
Belize	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Belize
Bermuda	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Bermuda
Bolivia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Bolivia
Caribbean Netherlands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Caribbean_Netherlands
Brazil	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Brazil
Barbados	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Barbados
Brunei	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Brunei
Bhutan	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Bhutan
Bouvet Island	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Bouvet_Island
Botswana	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Botswana
